Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-07-01,Gourmet Food Collection,Restaurant Services,Asia Pacific,Australia,Newcastle,189278,208920,Online,2024-Q3,2024-07
2024-07-01,Corporate Catering Service,Premium Foods,Europe,France,Lille,121180,115250,Online,2024-Q3,2024-07
2024-07-01,Food Delivery Platform,Premium Foods,Asia Pacific,Japan,Nagoya,85301,99615,Wholesale,2024-Q3,2024-07
2024-07-01,Fine Dining Experience,Restaurant Services,North America,Mexico,Puebla,194983,270574,Retail,2024-Q3,2024-07
2024-07-01,Fine Dining Experience,Catering Solutions,Asia Pacific,Japan,Fukuoka,100294,103364,Online,2024-Q3,2024-07
2024-07-01,Restaurant POS System,Food Technology,North America,Mexico,Chihuahua,267430,214457,Partner,2024-Q3,2024-07
2024-07-01,Kitchen Equipment Solution,Restaurant Services,Asia Pacific,Australia,Sydney,133673,97684,Retail,2024-Q3,2024-07
2024-07-01,Food Safety Software,Restaurant Services,North America,United States,Dallas,229747,217163,Partner,2024-Q3,2024-07
2024-07-01,Recipe Management System,Premium Foods,Asia Pacific,Japan,Kawasaki,162744,142800,Retail,2024-Q3,2024-07
2024-07-01,Artisan Bakery Products,Catering Solutions,Asia Pacific,Australia,Brisbane,140144,166268,Wholesale,2024-Q3,2024-07
2024-07-01,Kitchen Equipment Solution,Restaurant Services,Europe,Germany,Düsseldorf,240025,172933,Direct Sales,2024-Q3,2024-07
2024-07-01,Gourmet Food Collection,Catering Solutions,Asia Pacific,Singapore,Central,125097,97441,Partner,2024-Q3,2024-07
2024-07-01,Premium Wine Collection,Food Technology,Asia Pacific,Australia,Melbourne,168593,208781,Direct Sales,2024-Q3,2024-07
2024-07-01,Food Safety Software,Premium Foods,Asia Pacific,Japan,Yokohama,89483,121064,Mobile App,2024-Q3,2024-07
2024-07-01,Corporate Catering Service,Food Technology,Asia Pacific,Australia,Wollongong,183743,171962,Online,2024-Q3,2024-07
2024-07-01,Food Delivery Platform,Catering Solutions,Asia Pacific,Singapore,East,98887,110768,Online,2024-Q3,2024-07
2024-07-01,Premium Wine Collection,Beverages,Europe,United Kingdom,Glasgow,122938,136835,Wholesale,2024-Q3,2024-07
