Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2025-01-01,Process Control Software,Supply Chain,North America,Canada,Winnipeg,184550,204592,Online,2025-Q1,2025-01
2025-01-01,Quality Assurance Software,Production Machinery,Asia Pacific,Singapore,North,435322,460754,Partner,2025-Q1,2025-01
2025-01-01,CNC Machining Center,Industrial Equipment,Europe,Germany,Hamburg,352957,312873,Mobile App,2025-Q1,2025-01
2025-01-02,Assembly Line Component,Industrial Equipment,Asia Pacific,Japan,Osaka,123752,143746,Wholesale,2025-Q1,2025-01
2025-01-02,CNC Machining Center,Automotive Parts,North America,Mexico,León,456178,592049,Wholesale,2025-Q1,2025-01
2025-01-02,Industrial Robot System,Production Machinery,Asia Pacific,Singapore,Northeast,118227,164117,Online,2025-Q1,2025-01
2025-01-02,Quality Inspection System,Automotive Parts,Asia Pacific,Singapore,East,242885,306080,Mobile App,2025-Q1,2025-01
2025-01-03,Automated Production Line,Automotive Parts,Europe,Germany,Dortmund,152008,195606,Direct Sales,2025-Q1,2025-01
2025-01-03,Industrial Robot System,Supply Chain,Europe,France,Montpellier,232948,268364,Mobile App,2025-Q1,2025-01
2025-01-03,High-Performance Engine Component,Supply Chain,Europe,France,Nice,509243,407806,Retail,2025-Q1,2025-01
2025-01-04,Quality Assurance Software,Production Machinery,North America,Canada,Winnipeg,345614,325209,Direct Sales,2025-Q1,2025-01
2025-01-04,Industrial Robot System,Industrial Equipment,Asia Pacific,Singapore,North,160283,210759,Retail,2025-Q1,2025-01
2025-01-04,Automated Production Line,Automotive Parts,Asia Pacific,Australia,Sunshine Coast,279127,351244,Online,2025-Q1,2025-01
2025-01-05,Inventory Management Platform,Industrial Equipment,North America,Canada,Ottawa,388397,497799,Mobile App,2025-Q1,2025-01
2025-01-05,Precision Manufacturing Tool,Production Machinery,Europe,United Kingdom,Cardiff,371282,482581,Wholesale,2025-Q1,2025-01
2025-01-05,Warehouse Management System,Industrial Equipment,North America,Canada,Vancouver,526902,719157,Retail,2025-Q1,2025-01
2025-01-05,Quality Inspection System,Automotive Parts,Europe,France,Toulouse,373002,437177,Direct Sales,2025-Q1,2025-01
2025-01-05,Vehicle Diagnostic Tool,Automotive Parts,Asia Pacific,Japan,Kobe,168486,172641,Direct Sales,2025-Q1,2025-01
2025-01-06,Automotive Safety Module,Industrial Equipment,Europe,Germany,Düsseldorf,161208,196022,Wholesale,2025-Q1,2025-01
2025-01-06,Logistics Tracking System,Supply Chain,North America,Canada,Toronto,114499,148361,Wholesale,2025-Q1,2025-01
2025-01-06,Logistics Tracking System,Production Machinery,Asia Pacific,Japan,Osaka,243109,300039,Online,2025-Q1,2025-01
2025-01-06,Logistics Tracking System,Automotive Parts,North America,Canada,Mississauga,103006,112554,Online,2025-Q1,2025-01
2025-01-06,Warehouse Management System,Industrial Equipment,Asia Pacific,Australia,Brisbane,161579,123500,Wholesale,2025-Q1,2025-01
2025-01-07,Heavy Machinery Equipment,Industrial Equipment,Asia Pacific,Singapore,East,198642,200033,Retail,2025-Q1,2025-01
2025-01-07,CNC Machining Center,Supply Chain,North America,Canada,Hamilton,255593,274680,Retail,2025-Q1,2025-01
2025-01-07,Heavy Machinery Equipment,Production Machinery,North America,Canada,Edmonton,498866,456492,Direct Sales,2025-Q1,2025-01
2025-01-08,Automotive Safety Module,Supply Chain,North America,Mexico,León,126442,132508,Partner,2025-Q1,2025-01
2025-01-08,Logistics Tracking System,Production Machinery,North America,United States,New York,687686,526872,Direct Sales,2025-Q1,2025-01
2025-01-08,Heavy Machinery Equipment,Quality Control,North America,United States,Chicago,363951,431614,Online,2025-Q1,2025-01
2025-01-09,Logistics Tracking System,Production Machinery,Asia Pacific,Australia,Brisbane,314769,269297,Direct Sales,2025-Q1,2025-01
2025-01-09,Automotive Safety Module,Automotive Parts,North America,Canada,Hamilton,139836,103000,Mobile App,2025-Q1,2025-01
2025-01-09,Quality Inspection System,Supply Chain,North America,Canada,Toronto,506306,532352,Mobile App,2025-Q1,2025-01
2025-01-09,Assembly Line Component,Production Machinery,Asia Pacific,Japan,Kobe,219539,263329,Online,2025-Q1,2025-01
2025-01-10,Precision Manufacturing Tool,Quality Control,Asia Pacific,Singapore,Central,271182,221753,Wholesale,2025-Q1,2025-01
2025-01-10,Automotive Safety Module,Production Machinery,Asia Pacific,Japan,Kyoto,502465,657766,Direct Sales,2025-Q1,2025-01
2025-01-10,High-Performance Engine Component,Quality Control,Europe,Germany,Frankfurt,268094,361843,Partner,2025-Q1,2025-01
2025-01-11,Automated Production Line,Industrial Equipment,North America,Canada,Vancouver,258760,187438,Direct Sales,2025-Q1,2025-01
2025-01-11,Assembly Line Component,Automotive Parts,Europe,Germany,Hamburg,91433,86680,Partner,2025-Q1,2025-01
2025-01-11,Industrial Robot System,Automotive Parts,North America,Canada,Ottawa,394327,349598,Retail,2025-Q1,2025-01
2025-01-11,Inventory Management Platform,Production Machinery,Asia Pacific,Australia,Melbourne,229642,303353,Retail,2025-Q1,2025-01
2025-01-11,Precision Manufacturing Tool,Production Machinery,Europe,Germany,Berlin,214012,213973,Wholesale,2025-Q1,2025-01
2025-01-12,Assembly Line Component,Production Machinery,North America,United States,Chicago,451356,467114,Retail,2025-Q1,2025-01
2025-01-12,Industrial Robot System,Automotive Parts,North America,Mexico,Juárez,372474,266900,Mobile App,2025-Q1,2025-01
2025-01-12,Industrial Robot System,Industrial Equipment,Europe,France,Toulouse,454251,343285,Direct Sales,2025-Q1,2025-01
2025-01-12,Logistics Tracking System,Supply Chain,North America,Mexico,Monterrey,360401,326649,Partner,2025-Q1,2025-01
2025-01-12,Automotive Safety Module,Supply Chain,Europe,France,Lille,365574,268363,Mobile App,2025-Q1,2025-01
2025-01-13,Heavy Machinery Equipment,Industrial Equipment,Asia Pacific,Japan,Saitama,127222,125664,Wholesale,2025-Q1,2025-01
2025-01-13,CNC Machining Center,Supply Chain,North America,United States,Philadelphia,242889,319633,Partner,2025-Q1,2025-01
2025-01-13,Industrial Robot System,Industrial Equipment,Europe,United Kingdom,Liverpool,330814,399604,Mobile App,2025-Q1,2025-01
2025-01-13,Automated Production Line,Quality Control,Asia Pacific,Singapore,West,389374,279822,Partner,2025-Q1,2025-01
2025-01-13,Assembly Line Component,Industrial Equipment,North America,United States,Houston,261494,309001,Mobile App,2025-Q1,2025-01
2025-01-13,Process Control Software,Industrial Equipment,Europe,Germany,Frankfurt,181543,208774,Wholesale,2025-Q1,2025-01
